floor,year,area,layout,price
29,2023,118.35,5,61.8
32,,122,5,100
11,,32.22,2,9.6
7,,129.78,5,38
6,,67,3,24.5
7,,112.37,5,39
33,,89,4,58
5,,85,4,15
7,2014,79.14,4,36
34,,169.07,6,125
33,,56,2,36
27,,107,5,64.5
8,,72.65,3,20
23,,80.7,4,62
6,,131,5,58
7,,75,4,25.5
6,,60.95,4,20.8
6,,69,3,16.4
7,,120,5,48.7
32,,123,5,57.7
34,,142,6,105
8,,139,5,49.8
7,,68,3,17
6,,66.07,3,11.8
29,,101,5,60
32,,105,4,48.9
29,2017,93,4,47.5
7,,94,4,13.5
33,,92,4,52
7,,78.9,4,24.8
7,,116,5,45
22,,144.3,5,85
33,,146,5,54
34,,64.31,3,34.5
31,2010,80.96,3,27.5
7,,91.99,4,18
24,,137.66,5,36
7,,91,4,36
33,,126.03,5,75
23,,89,4,70
24,,123.13,5,61.8
7,,116,4,27
31,,108.43,5,44
23,,102,4,65
7,,77.88,4,26.5
30,,125,5,75
26,,81.96,4,30
7,,59.72,3,16.8
7,,111.99,4,37
7,,107,4,49
